"entrez_gene_id","contributing_probe_count"
"101929052",1
"101929064",1
"101929073",1
"101929076",1
"101929078",1
"101929081",1
"101929082",1
"101929083",1
"101929084",1
"101929093",1
"101929109",1
"101929110",1
"101929111",1
"101929112",1
"101929114",1
"101929116",1
"101929118",1
"101929120",1
"101929122",1
"101929123",1
"101929125",1
"101929132",1
"101929133",1
"101929143",1
"101929144",1
"101929145",2
"101929147",2
"101929148",2
"101929153",1
"101929154",1
"101929164",1
"101929167",1
"101929172",1
"101929176",1
"101929177",1
"101929180",1
"101929181",1
"101929196",1
"101929198",1
"101929210",1
"101929212",1
"101929224",1
"101929225",1
"101929229",1
"101929239",2
"101929241",1
"101929243",1
"101929247",1
"101929248",1
"101929255",1
"101929260",1
"101929261",1
"101929265",1
"101929268",1
"101929269",1
"101929272",1
"101929279",1
"101929280",1
"101929284",1
"101929288",1
"101929289",1
"101929297",1
"101929312",1
"101929315",1
"101929319",1
"101929325",1
"101929328",1
"101929335",2
"101929340",1
"101929341",1
"101929372",1
"101929378",1
"101929384",1
"101929402",1
"101929406",1
"101929410",1
"101929413",1
"101929423",1
"101929437",1
"101929441",1
"101929450",2
"101929454",1
"101929456",1
"101929459",1
"101929460",1
"101929464",1
"101929465",1
"101929472",1
"101929473",1
"101929475",1
"101929478",1
"101929480",1
"101929486",1
"101929488",1
"101929495",1
"101929497",2
"101929504",1
"101929505",1
"101929511",1
"101929512",1
"101929517",1
"101929520",1
"101929524",1
"101929526",1
"101929528",1
"101929529",1
"101929538",1
"101929549",1
"101929550",1
"101929552",1
"101929557",1
"101929570",1
"101929582",1
"101929584",1
"101929586",1
"101929591",2
"101929592",1
"101929607",2
"101929609",1
"101929620",1
"101929622",1
"101929623",1
"101929628",1
"101929631",1
"101929645",1
"101929648",1
"101929651",1
"101929655",1
"101929657",1
"101929660",1
"101929662",1
"101929668",1
"101929681",1
"101929683",1
"101929684",1
"101929687",1
"101929690",1
"101929693",1
"101929694",1
"101929705",1
"101929709",1
"101929715",1
"101929717",1
"101929718",1
"101929719",1
"101929726",1
"101929730",2
"101929734",1
"101929741",1
"101929745",1
"101929747",2
"101929752",1
"101929757",1
"101929759",1
"101929760",1
"101929761",1
"101929762",1
"101929765",1
"101929774",1
"101929787",1
"101929897",1
"101929926",1
"101929949",1
"101929964",1
"101929988",1
"10193",3
"101930026",1
"101930067",1
"101930097",1
"101930114",1
"101930405",1
"101930415",1
"101930421",1
"101930541",1
