experiment,file_accession,assembly,file_status,file_format,output_type,file_size,audit_levels,eligible,reason,biological_replicates
ENCSR000DWL,ENCFF082YWL,GRCh38,released,bigBed,peaks,1958717,,False,not BED,1
ENCSR000DWL,ENCFF981SBZ,GRCh38,released,bigBed,pseudoreplicated peaks,1780184,,False,not BED; not an eligible peak output,1
ENCSR000DWL,ENCFF022GMN,GRCh38,released,bigWig,signal p-value,255412804,,False,not BED; not an eligible peak output; unknown file size or transfer cap,1
ENCSR000DWL,ENCFF227YKR,GRCh38,released,bigWig,fold change over control,189943323,,False,not BED; not an eligible peak output; unknown file size or transfer cap,1
ENCSR000DWL,ENCFF755NQZ,GRCh38,released,bed,pseudoreplicated peaks,757586,,False,not an eligible peak output,1
ENCSR000DWL,ENCFF712TBW,hg19,released,bam,unfiltered alignments,926575360,,False,file not GRCh38; not BED; not an eligible peak output; unknown file size or transfer cap,1
ENCSR000DWL,ENCFF999HNW,hg19,released,bam,alignments,629721619,,False,file not GRCh38; not BED; not an eligible peak output; unknown file size or transfer cap,1
ENCSR000DWL,ENCFF485XYG,hg19,released,bigWig,fold change over control,191483621,,False,file not GRCh38; not BED; not an eligible peak output; unknown file size or transfer cap,1
ENCSR000DWL,ENCFF918UFN,hg19,released,bed,peaks,623273,,False,file not GRCh38,1
ENCSR000DWL,ENCFF071NVM,hg19,released,bigBed,peaks,1955165,,False,file not GRCh38; not BED,1
ENCSR000DWL,ENCFF331RTL,hg19,released,bigWig,signal p-value,255503692,,False,file not GRCh38; not BED; not an eligible peak output; unknown file size or transfer cap,1
ENCSR000DWL,ENCFF736HIT,hg19,released,bed,pseudoreplicated peaks,755652,,False,file not GRCh38; not an eligible peak output,1
ENCSR000DWL,ENCFF351RFD,hg19,released,bigBed,pseudoreplicated peaks,1776711,,False,file not GRCh38; not BED; not an eligible peak output,1
ENCSR000DWL,ENCFF704SGA,GRCh38,released,bigWig,signal p-value,297366604,,False,not BED; not an eligible peak output; unknown file size or transfer cap,1
ENCSR000DWL,ENCFF510BSJ,GRCh38,released,bigWig,fold change over control,205739991,,False,not BED; not an eligible peak output; unknown file size or transfer cap,1
ENCSR000EPK,ENCFF000AGH,hg19,archived,bigBed,peaks,1880150,,False,file not released; file not GRCh38; not BED,2
ENCSR000EPK,ENCFF001DYW,hg19,archived,bigBed,hotspots,4847792,,False,file not released; file not GRCh38; not BED; not an eligible peak output,2
ENCSR000EPK,ENCFF001DYZ,hg19,archived,bigBed,peaks,2822595,,False,file not released; file not GRCh38; not BED,2
ENCSR000EPK,ENCFF001DZG,,released,fastq,reads,123129410,,False,file not GRCh38; not BED; not an eligible peak output; unknown file size or transfer cap,2
ENCSR000EPK,ENCFF001DZJ,hg19,archived,bam,alignments,2888515207,,False,file not released; file not GRCh38; not BED; not an eligible peak output; unknown file size or transfer cap,2
ENCSR000EPK,ENCFF001DZM,hg19,archived,bigWig,raw signal,264746556,,False,file not released; file not GRCh38; not BED; not an eligible peak output; unknown file size or transfer cap,2
ENCSR000EPK,ENCFF001SRV,hg19,archived,bed,peaks,1334500,,False,file not released; file not GRCh38,2
ENCSR000EPK,ENCFF001WQE,hg19,archived,bed,hotspots,2508145,,False,file not released; file not GRCh38; not an eligible peak output,2
ENCSR000EPK,ENCFF001WQG,hg19,archived,bed,peaks,1637249,,False,file not released; file not GRCh38,2
ENCSR000EPK,ENCFF001DZH,,released,fastq,reads,3606334750,,False,file not GRCh38; not BED; not an eligible peak output; unknown file size or transfer cap,2
ENCSR000EPK,ENCFF387IFB,GRCh38,released,bigBed,peaks,1682751,,False,not BED,2
ENCSR000EPK,ENCFF520YSK,GRCh38,released,bigBed,hotspots,2741733,,False,not BED; not an eligible peak output,2
ENCSR000EPK,ENCFF250SRZ,GRCh38,released,bed,FDR cut rate,206887035,,False,not an eligible peak output; unknown file size or transfer cap,2
ENCSR000EPK,ENCFF867ZDN,GRCh38,released,bed,hotspots,1692937,,False,not an eligible peak output,2
ENCSR000EPK,ENCFF581KXE,GRCh38,released,bed,peaks,1148036,,True,,2
ENCSR000EPK,ENCFF422ALH,hg19,released,bed,FDR cut rate,206534153,,False,file not GRCh38; not an eligible peak output; unknown file size or transfer cap,2
ENCSR000EPK,ENCFF459BUQ,hg19,released,bed,hotspots,1690175,,False,file not GRCh38; not an eligible peak output,2
ENCSR000EPK,ENCFF289XSM,hg19,released,bed,peaks,1145579,,False,file not GRCh38,2
ENCSR000EPK,ENCFF013XLI,hg19,released,bigBed,peaks,1678432,,False,file not GRCh38; not BED,2
ENCSR000EPK,ENCFF864WPF,hg19,released,bigBed,hotspots,2735088,,False,file not GRCh38; not BED; not an eligible peak output,2
ENCSR000EPK,ENCFF543QYF,GRCh38,released,bam,unfiltered alignments,3736053557,,False,not BED; not an eligible peak output; unknown file size or transfer cap,2
ENCSR000EPK,ENCFF078UVY,GRCh38,archived,bam,alignments,3042211943,,False,file not released; not BED; not an eligible peak output; unknown file size or transfer cap,2
ENCSR000EPK,ENCFF579HEP,GRCh38,archived,bed,hotspots,1435694,,False,file not released; not an eligible peak output,2
ENCSR000EPK,ENCFF669OTR,GRCh38,archived,bed,peaks,1137152,,False,file not released,2
ENCSR000EPK,ENCFF342MTF,GRCh38,archived,bigBed,peaks,1739840,,False,file not released; not BED,2
