filename,uncompressed_bytes,compressed_bytes,compression_method,local_header_offset,crc32
dMean__B_2_r_all/OPTIM_pcs/base_output/base/cis_nominal1.cis_qtl_pairs.12.tsv,249875759,81062287,8,9853184139,1193241467
dMean__B_2_r_all/OPTIM_pcs/base_output/base/cis_nominal1.cis_qtl_pairs.18.tsv,71685721,23524721,8,9934246558,2164884508
dMean__B_2_r_all/OPTIM_pcs/base_output/base/cis_nominal1.cis_qtl_pairs.13.tsv,83847252,27321768,8,9957771411,25279647
dMean__T_3_ti_all/OPTIM_pcs/base_output/base/cis_nominal1.cis_qtl_pairs.3.tsv,239542758,79257436,8,9985093311,3157439597
dMean__T_3_ti_all/OPTIM_pcs/base_output/base/cis_nominal1.cis_qtl_pairs.15.tsv,133979193,44616825,8,10064350879,1613127524
dMean__T_3_ti_all/OPTIM_pcs/base_output/base/cis_nominal1.cis_qtl_pairs.16.tsv,192901893,65113166,8,10108967837,3268389378
dMean__T_3_ti_all/OPTIM_pcs/base_output/base/cis_nominal1.cis_qtl_pairs.4.tsv,175237715,57946963,8,10174081136,471980644
dMean__T_3_ti_all/OPTIM_pcs/base_output/base/cis_nominal1.cis_qtl_pairs.21.tsv,51687254,17248648,8,10232028231,3817253405
dMean__T_3_ti_all/OPTIM_pcs/base_output/base/cis_nominal1.cis_qtl_pairs.7.tsv,212450270,70862086,8,10249277012,2069427972
dMean__T_3_ti_all/OPTIM_pcs/base_output/base/cis_nominal1.cis_qtl_pairs.22.tsv,106049663,35423664,8,10320139230,3136329134
dMean__T_3_ti_all/OPTIM_pcs/base_output/base/cis_nominal1.cis_qtl_pairs.11.tsv,237327539,78399137,8,10355563027,1177504951
dMean__T_3_ti_all/OPTIM_pcs/base_output/base/cis_nominal1.cis_qtl_pairs.6.tsv,332528014,103758396,8,10433962297,898125621
dMean__T_3_ti_all/OPTIM_pcs/base_output/base/cis_nominal1.cis_qtl_pairs.2.tsv,282585516,94161285,8,10537720825,1306206292
dMean__T_3_ti_all/OPTIM_pcs/base_output/base/cis_nominal1.cis_qtl_pairs.17.tsv,266086944,88833388,8,10631882242,1068700240
dMean__T_3_ti_all/OPTIM_pcs/base_output/base/Cis_eqtls_qval.tsv,2730581,1170416,8,10720715763,881327997
dMean__T_3_ti_all/OPTIM_pcs/base_output/base/cis_nominal1.cis_qtl_pairs.5.tsv,196460759,65153180,8,10721886297,1466071490
dMean__T_3_ti_all/OPTIM_pcs/base_output/base/cis_nominal1.cis_qtl_pairs.9.tsv,166689636,55903675,8,10787039609,3541407035
dMean__T_3_ti_all/OPTIM_pcs/base_output/base/cis_nominal1.cis_qtl_pairs.19.tsv,369439780,123298732,8,10842943416,2418307771
dMean__T_3_ti_all/OPTIM_pcs/base_output/base/cis_nominal1.cis_qtl_pairs.10.tsv,176066723,57838625,8,10966242281,1894489858
dMean__T_3_ti_all/OPTIM_pcs/base_output/base/cis_nominal1.cis_qtl_pairs.8.tsv,148011315,49425588,8,11024081039,2293358620
dMean__T_3_ti_all/OPTIM_pcs/base_output/base/cis_nominal1.cis_qtl_pairs.14.tsv,167369008,55463924,8,11073506759,2952058736
dMean__T_3_ti_all/OPTIM_pcs/base_output/base/cis_nominal1.cis_qtl_pairs.1.tsv,399630995,132505491,8,11128970816,1028869109
dMean__T_3_ti_all/OPTIM_pcs/base_output/base/cis_nominal1.cis_qtl_pairs.20.tsv,119346966,39807589,8,11261476439,639328514
dMean__T_3_ti_all/OPTIM_pcs/base_output/base/Cis_eqtls_independent.tsv,152178,63054,8,11301284161,1028445391
dMean__T_3_ti_all/OPTIM_pcs/base_output/base/cis_nominal1.cis_qtl_pairs.12.tsv,246775974,81169844,8,11301347340,170313251
dMean__T_3_ti_all/OPTIM_pcs/base_output/base/cis_nominal1.cis_qtl_pairs.18.tsv,72297117,24090068,8,11382517317,4227687156
dMean__T_3_ti_all/OPTIM_pcs/base_output/base/cis_nominal1.cis_qtl_pairs.13.tsv,86444386,28562739,8,11406607518,4231047368
dMean__Epithelial_27_r_all/OPTIM_pcs/base_output/base/cis_nominal1.cis_qtl_pairs.3.tsv,248210970,81659046,8,11435170390,183382620
dMean__Epithelial_27_r_all/OPTIM_pcs/base_output/base/cis_nominal1.cis_qtl_pairs.15.tsv,142006130,47074129,8,11516829577,2056565465
dMean__Epithelial_27_r_all/OPTIM_pcs/base_output/base/cis_nominal1.cis_qtl_pairs.16.tsv,198407406,66696808,8,11563903848,2707804171
dMean__Epithelial_27_r_all/OPTIM_pcs/base_output/base/cis_nominal1.cis_qtl_pairs.4.tsv,182385728,59783634,8,11630600798,1652110952
dMean__Epithelial_27_r_all/OPTIM_pcs/base_output/base/cis_nominal1.cis_qtl_pairs.21.tsv,51877378,17228724,8,11690384573,1446878546
dMean__Epithelial_27_r_all/OPTIM_pcs/base_output/base/cis_nominal1.cis_qtl_pairs.7.tsv,234621830,77827914,8,11707613439,2400956900
